충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-02-13 23:01:53,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:40:53,2023-02-13 23:42:13,14,95,41,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:01:54,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,65,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:01:56,KRPPKCS0057,KRPPKCP0367,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:30:26,2023-02-13 23:16:15,75,100,94,69,0,69,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:03,KRPPKCS0042,KRPPKCP0262,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:41:55,2023-02-13 23:11:20,59,59,49,39,0,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:08,KRPPKCS0103,KRPPKCP0747,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 22:58:09,2023-02-14 00:00:00,24,52,27,90,0,90,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:12,KRPPKCS0002,KRPPKCP0013,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-13 22:34:11,2023-02-13 23:58:33,43,100,63,133,0,133,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:14,KRPPKCS0022,KRPPKCP0163,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 21:16:39,2023-02-13 23:02:53,44,92,92,155,0,91,63,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:15,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:41:15,2023-02-13 23:42:16,14,95,42,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:17,KRPPKCS0103,KRPPKCP0748,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 21:48:18,2023-02-13 23:02:33,57,100,100,105,0,88,16,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:19,KRPPKCS0042,KRPPKCP0264,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:55:13,2023-02-13 23:11:22,61,68,63,27,1616,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:20,KRPPKCS0057,KRPPKCP0368,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:37:58,2023-02-13 23:20:28,76,100,91,71,0,71,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:22,KRPPKCS0001,KRPPKCP0007,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:51:22,2023-02-13 23:52:57,17,94,30,82,0,82,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:23,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:28:23,2023-02-13 23:31:38,13,95,57,84,0,84,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:25,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,65,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:26,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:56,2023-02-13 23:03:41,68,100,99,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:27,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:51,2023-02-13 23:03:41,68,100,99,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:27,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:22:26,2023-02-13 23:06:11,45,100,97,83,0,83,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:33,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:25:32,2023-02-13 23:05:57,49,100,97,76,0,76,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:34,KRPPKCS0042,KRPPKCP0262,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:41:55,2023-02-13 23:11:20,59,59,50,39,0,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:36,KRPPKCS0002,KRPPKCP0014,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-13 22:28:36,2023-02-13 23:56:27,53,100,59,131,0,131,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:36,KRPPKCS0001,KRPPKCP0009,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:59:37,2023-02-14 00:00:00,14,50,16,77,0,77,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:38,KRPPKCS0057,KRPPKCP0445,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:07:37,2023-02-13 23:20:29,55,100,92,123,0,123,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:41,KRPPKCS0103,KRPPKCP0748,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 21:48:18,2023-02-13 23:02:33,57,100,100,105,0,88,16,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:41,KRPPKCS0047,KRPPKCP0303,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 22:40:41,2023-02-13 23:17:03,81,100,92,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:43,KRPPKCS0103,KRPPKCP0748,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 21:48:18,2023-02-13 23:02:33,57,100,100,105,0,88,16,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:43,KRPPKCS0001,KRPPKCP0007,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:51:43,2023-02-13 23:52:56,17,94,31,82,0,82,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:43,KRPPKCS0103,KRPPKCP0743,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 21:36:42,2023-02-13 23:10:37,37,100,98,149,0,112,37,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:44,KRPPKCS0022,KRPPKCP0163,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 21:16:39,2023-02-13 23:02:53,44,92,92,155,0,91,63,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:45,KRPPKCS0103,KRPPKCP0747,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 22:44:45,2023-02-13 23:21:15,77,100,90,54,0,54,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:45,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:28:44,2023-02-13 23:31:37,13,95,57,84,0,84,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:51,KRPPKCS0082,KRPPKCP0633,27,290,대구광역시,달서구,**** ***,35,128,13,D,2023-02-13 22:38:28,2023-02-13 23:44:48,56,98,69,126,0,126,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:53,KRPPKCS0047,KRPPKCP0304,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 23:02:53,2023-02-13 23:23:49,88,100,100,36,2105,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:53,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:40:53,2023-02-13 23:42:13,14,95,43,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:54,KRPPKCS0047,KRPPKCP0304,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 23:02:53,2023-02-13 23:23:49,88,100,88,36,2105,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:56,KRPPKCS0022,KRPPKCP0163,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 21:16:39,2023-02-13 23:02:53,44,92,92,155,0,91,63,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:56,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,65,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:57,KRPPKCS0057,KRPPKCP0367,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:30:26,2023-02-13 23:16:15,75,100,95,69,0,69,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:02:59,KRPPKCS0047,KRPPKCP0304,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 23:02:53,2023-02-13 23:23:49,88,100,88,36,2105,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:05,KRPPKCS0042,KRPPKCP0262,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:41:55,2023-02-13 23:11:20,59,59,50,39,0,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:08,KRPPKCS0103,KRPPKCP0747,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 22:58:09,2023-02-14 00:00:00,24,52,27,90,0,90,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:12,KRPPKCS0002,KRPPKCP0013,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-13 22:34:11,2023-02-13 23:58:33,43,100,64,133,0,133,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:16,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:41:15,2023-02-13 23:42:16,14,95,43,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:20,KRPPKCS0042,KRPPKCP0264,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:55:13,2023-02-13 23:11:22,61,68,64,27,1616,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:21,KRPPKCS0057,KRPPKCP0368,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:37:58,2023-02-13 23:20:28,76,100,92,71,0,71,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:22,KRPPKCS0001,KRPPKCP0007,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:51:22,2023-02-13 23:52:57,17,94,32,82,0,82,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:24,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:28:23,2023-02-13 23:31:38,13,95,58,84,0,84,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:25,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:51,2023-02-13 23:03:41,68,100,99,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:27,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:22:26,2023-02-13 23:06:11,45,100,98,83,0,83,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:27,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,66,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:27,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:56,2023-02-13 23:03:41,68,100,99,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:33,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:25:32,2023-02-13 23:05:57,49,100,98,76,0,76,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:36,KRPPKCS0001,KRPPKCP0009,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:59:37,2023-02-14 00:00:00,14,50,16,77,0,77,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:36,KRPPKCS0002,KRPPKCP0014,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-13 22:28:36,2023-02-13 23:56:27,53,100,60,131,0,131,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:36,KRPPKCS0042,KRPPKCP0262,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:41:55,2023-02-13 23:11:20,59,59,51,39,0,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:39,KRPPKCS0057,KRPPKCP0445,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:07:37,2023-02-13 23:20:29,55,100,93,123,0,123,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:41,KRPPKCS0047,KRPPKCP0303,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 22:40:41,2023-02-13 23:17:03,81,100,93,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:43,KRPPKCS0103,KRPPKCP0743,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 21:36:42,2023-02-13 23:10:37,37,100,98,149,0,112,37,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:43,KRPPKCS0001,KRPPKCP0007,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:51:43,2023-02-13 23:52:56,17,94,32,82,0,82,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:45,KRPPKCS0103,KRPPKCP0747,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 22:44:45,2023-02-13 23:21:15,77,100,91,54,0,54,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:45,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:28:44,2023-02-13 23:31:37,13,95,59,84,0,84,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:50,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:56,2023-02-13 23:03:41,68,100,100,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:51,KRPPKCS0047,KRPPKCP0304,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-02-13 23:02:53,2023-02-13 23:23:49,88,100,89,36,2105,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:51,KRPPKCS0082,KRPPKCP0633,27,290,대구광역시,달서구,**** ***,35,128,13,D,2023-02-13 22:38:28,2023-02-13 23:44:48,56,98,70,126,0,126,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:52,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:56,2023-02-13 23:03:41,68,100,100,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:53,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:40:53,2023-02-13 23:42:13,14,95,44,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:57,KRPPKCS0057,KRPPKCP0367,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:30:26,2023-02-13 23:16:15,75,100,95,69,0,69,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:58,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,66,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:03:59,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:51,2023-02-13 23:03:41,68,100,100,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:01,KRPPKCS0072,KRPPKCP0586,41,570,경기도,김포시,**** *****,37,126,13,D,2023-02-13 22:09:51,2023-02-13 23:03:41,68,100,100,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:07,KRPPKCS0042,KRPPKCP0262,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:41:55,2023-02-13 23:11:20,59,59,52,39,0,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:08,KRPPKCS0103,KRPPKCP0747,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-02-13 22:58:09,2023-02-14 00:00:00,24,52,27,90,0,90,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:12,KRPPKCS0002,KRPPKCP0013,41,173,경기도,안양시,**** ** *** ***,37,126,13,D,2023-02-13 22:34:11,2023-02-13 23:58:33,43,100,64,133,0,133,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:16,KRPPKCS0001,KRPPKCP0004,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:41:15,2023-02-13 23:42:16,14,95,44,81,0,81,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:21,KRPPKCS0042,KRPPKCP0264,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:55:13,2023-02-13 23:11:22,61,68,64,27,1616,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:22,KRPPKCS0057,KRPPKCP0368,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 22:37:58,2023-02-13 23:20:28,76,100,92,71,0,71,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:22,KRPPKCS0001,KRPPKCP0007,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:51:22,2023-02-13 23:52:57,17,94,33,82,0,82,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:24,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-02-13 22:28:23,2023-02-13 23:31:38,13,95,59,84,0,84,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:26,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:22:26,2023-02-13 23:06:11,45,100,99,83,0,83,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:29,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-02-13 22:46:56,2023-02-13 23:11:25,58,71,66,44,2441,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:32,KRPPKCS0057,KRPPKCP0368,50,110,제주특별자치도,제주시,**** **,33,126,13,D,2023-02-13 23:04:32,2023-02-13 23:56:06,70,100,100,83,0,83,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-02-13 23:04:33,KRPPKCS0023,KRPPKCP0168,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-02-13 22:25:32,2023-02-13 23:05:57,49,100,99,76,0,76,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
